Battalion,Watch Date,Incident Number,Call Type Group
B09,12/01/2019 12:00:00 AM,445,Alarm
B09,12/01/2019 12:00:00 AM,30,Fire
B09,12/01/2019 12:00:00 AM,509,Non Life-threatening
B09,12/01/2019 12:00:00 AM,1085,Potentially Life-Threatening
B09,12/01/2019 12:00:00 AM,3,
B10,01/01/2019 12:00:00 AM,433,Alarm
B10,01/01/2019 12:00:00 AM,105,Fire
B10,01/01/2019 12:00:00 AM,449,Non Life-threatening
B10,01/01/2019 12:00:00 AM,983,Potentially Life-Threatening
B10,01/01/2019 12:00:00 AM,7,
B10,02/01/2019 12:00:00 AM,371,Alarm
B10,02/01/2019 12:00:00 AM,96,Fire
B10,02/01/2019 12:00:00 AM,469,Non Life-threatening
B10,02/01/2019 12:00:00 AM,940,Potentially Life-Threatening
B10,02/01/2019 12:00:00 AM,10,
B10,03/01/2019 12:00:00 AM,418,Alarm
B10,03/01/2019 12:00:00 AM,138,Fire
B10,03/01/2019 12:00:00 AM,550,Non Life-threatening
B10,03/01/2019 12:00:00 AM,1050,Potentially Life-Threatening
B10,03/01/2019 12:00:00 AM,79,
B10,04/01/2019 12:00:00 AM,441,Alarm
B10,04/01/2019 12:00:00 AM,92,Fire
B10,04/01/2019 12:00:00 AM,487,Non Life-threatening
B10,04/01/2019 12:00:00 AM,962,Potentially Life-Threatening
B10,04/01/2019 12:00:00 AM,74,
B10,05/01/2019 12:00:00 AM,374,Alarm
B10,05/01/2019 12:00:00 AM,129,Fire
B10,05/01/2019 12:00:00 AM,558,Non Life-threatening
B10,05/01/2019 12:00:00 AM,1028,Potentially Life-Threatening
B10,05/01/2019 12:00:00 AM,14,
B10,06/01/2019 12:00:00 AM,571,Alarm
B10,06/01/2019 12:00:00 AM,152,Fire
B10,06/01/2019 12:00:00 AM,546,Non Life-threatening
B10,06/01/2019 12:00:00 AM,1027,Potentially Life-Threatening
B10,06/01/2019 12:00:00 AM,13,
B10,07/01/2019 12:00:00 AM,447,Alarm
B10,07/01/2019 12:00:00 AM,235,Fire
B10,07/01/2019 12:00:00 AM,513,Non Life-threatening
B10,07/01/2019 12:00:00 AM,963,Potentially Life-Threatening
B10,07/01/2019 12:00:00 AM,11,
B10,08/01/2019 12:00:00 AM,424,Alarm
B10,08/01/2019 12:00:00 AM,192,Fire
B10,08/01/2019 12:00:00 AM,539,Non Life-threatening
B10,08/01/2019 12:00:00 AM,1055,Potentially Life-Threatening
B10,09/01/2019 12:00:00 AM,484,Alarm
B10,09/01/2019 12:00:00 AM,243,Fire
B10,09/01/2019 12:00:00 AM,612,Non Life-threatening
B10,09/01/2019 12:00:00 AM,1054,Potentially Life-Threatening
B10,09/01/2019 12:00:00 AM,2,
B10,10/01/2019 12:00:00 AM,475,Alarm
B10,10/01/2019 12:00:00 AM,199,Fire
B10,10/01/2019 12:00:00 AM,562,Non Life-threatening
B10,10/01/2019 12:00:00 AM,1156,Potentially Life-Threatening
B10,10/01/2019 12:00:00 AM,5,
B10,11/01/2019 12:00:00 AM,495,Alarm
B10,11/01/2019 12:00:00 AM,148,Fire
B10,11/01/2019 12:00:00 AM,498,Non Life-threatening
B10,11/01/2019 12:00:00 AM,934,Potentially Life-Threatening
B10,11/01/2019 12:00:00 AM,3,
B10,12/01/2019 12:00:00 AM,491,Alarm
B10,12/01/2019 12:00:00 AM,127,Fire
B10,12/01/2019 12:00:00 AM,516,Non Life-threatening
B10,12/01/2019 12:00:00 AM,1220,Potentially Life-Threatening
B10,12/01/2019 12:00:00 AM,2,
B99,01/01/2019 12:00:00 AM,77,Alarm
B99,01/01/2019 12:00:00 AM,40,Fire
B99,01/01/2019 12:00:00 AM,28,Non Life-threatening
B99,01/01/2019 12:00:00 AM,40,Potentially Life-Threatening
B99,02/01/2019 12:00:00 AM,39,Alarm
B99,02/01/2019 12:00:00 AM,20,Fire
B99,02/01/2019 12:00:00 AM,20,Non Life-threatening
B99,02/01/2019 12:00:00 AM,26,Potentially Life-Threatening
B99,02/01/2019 12:00:00 AM,17,
B99,03/01/2019 12:00:00 AM,58,Alarm
B99,03/01/2019 12:00:00 AM,48,Fire
B99,03/01/2019 12:00:00 AM,21,Non Life-threatening
B99,03/01/2019 12:00:00 AM,30,Potentially Life-Threatening
B99,03/01/2019 12:00:00 AM,3,
B99,04/01/2019 12:00:00 AM,36,Alarm
B99,04/01/2019 12:00:00 AM,41,Fire
B99,04/01/2019 12:00:00 AM,35,Non Life-threatening
B99,04/01/2019 12:00:00 AM,35,Potentially Life-Threatening
B99,04/01/2019 12:00:00 AM,2,
B99,05/01/2019 12:00:00 AM,41,Alarm
B99,05/01/2019 12:00:00 AM,52,Fire
B99,05/01/2019 12:00:00 AM,37,Non Life-threatening
B99,05/01/2019 12:00:00 AM,49,Potentially Life-Threatening
B99,06/01/2019 12:00:00 AM,53,Alarm
B99,06/01/2019 12:00:00 AM,77,Fire
B99,06/01/2019 12:00:00 AM,59,Non Life-threatening
B99,06/01/2019 12:00:00 AM,40,Potentially Life-Threatening
B99,07/01/2019 12:00:00 AM,54,Alarm
B99,07/01/2019 12:00:00 AM,58,Fire
B99,07/01/2019 12:00:00 AM,41,Non Life-threatening
B99,07/01/2019 12:00:00 AM,50,Potentially Life-Threatening
B99,08/01/2019 12:00:00 AM,52,Alarm
B99,08/01/2019 12:00:00 AM,69,Fire
B99,08/01/2019 12:00:00 AM,45,Non Life-threatening
B99,08/01/2019 12:00:00 AM,44,Potentially Life-Threatening
B99,09/01/2019 12:00:00 AM,73,Alarm
B99,09/01/2019 12:00:00 AM,108,Fire
B99,09/01/2019 12:00:00 AM,52,Non Life-threatening
B99,09/01/2019 12:00:00 AM,69,Potentially Life-Threatening
B99,10/01/2019 12:00:00 AM,63,Alarm
B99,10/01/2019 12:00:00 AM,100,Fire
B99,10/01/2019 12:00:00 AM,51,Non Life-threatening
B99,10/01/2019 12:00:00 AM,46,Potentially Life-Threatening
B99,10/01/2019 12:00:00 AM,11,
B99,11/01/2019 12:00:00 AM,42,Alarm
B99,11/01/2019 12:00:00 AM,27,Fire
B99,11/01/2019 12:00:00 AM,64,Non Life-threatening
B99,11/01/2019 12:00:00 AM,38,Potentially Life-Threatening
B99,12/01/2019 12:00:00 AM,29,Alarm
B99,12/01/2019 12:00:00 AM,48,Fire
B99,12/01/2019 12:00:00 AM,35,Non Life-threatening
B99,12/01/2019 12:00:00 AM,36,Potentially Life-Threatening
